transaction_id,customer_id,product_id,quantity,price,timestamp,payment_method,revenue,customer_name,email,signup_date,country,age,product_name,category,supplier_id,cost_price,profit_margin
4292,130,89,1.0,112.87,2024-08-17 09:13:00,Credit Card,112.87,Customer_129,customer_129129@yahoo.com,2023-12-20,Canada,40.0,Product_HOM_88,Books,2,59.72,47.08957207406751
9107,271,98,1.0,211.9,2023-11-17 20:50:00,PayPal,211.9,Customer_270,customer_270270@email.com,2022-11-09,India,21.0,Product_BOO_97,Home & Garden,26,84.89,59.938650306748464
7842,66,33,1.0,225.04,2023-03-21 23:23:00,Bank Transfer,225.04,Customer_65,customer_6565@email.com,2023-08-08,Canada,62.0,Product_BOO_32,Electronics,22,103.61,53.95929612513331
3485,432,73,1.0,72.2,2024-11-18 17:04:00,Cash,72.2,Customer_431,customer_431431@gmail.com,2023-10-29,India,64.0,Product_OFF_72,Home & Garden,31,39.53,45.24930747922438
8929,248,11,1.0,315.22,2024-09-14 19:19:00,Cash,315.22,Customer_247,customer_247247@company.com,2022-09-15,Mexico,64.0,Product_TOY_10,Clothing,14,127.0,59.71067825645581
5291,1861,1,1.0,256.29,2024-09-13 20:32:00,Bank Transfer,256.29,Customer_1860,customer_18601860@gmail.com,2023-06-29,India,63.0,Product_OFF_0,Toys,28,113.16,55.84689219243826
2831,973,26,2.0,36.77,2023-11-03 23:49:00,PayPal,73.54,Customer_972,customer_972972@yahoo.com,2024-02-10,Australia,62.0,Product_FOO_25,Automotive,42,14.97,59.28746260538483
5321,208,36,1.0,174.84,2023-05-01 23:14:00,Bank Transfer,174.84,Customer_207,customer_207207@outlook.com,2022-03-12,France,66.0,Product_CLO_35,Electronics,49,116.9,33.13886982383893
7475,27,130,1.0,179.73,2023-11-10 06:28:00,Credit Card,179.73,customer48,customer4826@company.com,2023-10-21,USA,58.0,Product_ELE_129,Toys,39,86.59,51.82217771101095
2872,258,78,3.0,137.61,2023-11-26 14:55:00,Credit Card,412.83000000000004,Customer_257,customer_257257@yahoo.com,2024-02-10,France,40.0,Product_SPO_77,Books,48,66.5,51.67502361746966
